"pixel_x","pixel_y","cell_ID"
6334.6,-6173.7,"24x22"
6337.9,-6568.7,"24x24"
6334.3,-6976.1,"24x26"
6339.1,-7380.4,"24x28"
6329.2,-7763.4,"24x30"
6328.7,-8178,"24x32"
6334.5,-8581.1,"24x34"
6332.9,-8974.4,"24x36"
6324.8,-9369.5,"24x38"
6323,-9781.7,"24x40"
6335.2,-10184.2,"24x42"
6517.8,-2366,"25x3"
6514.2,-2766,"25x5"
6518.4,-3171.7,"25x7"
6522.2,-3576.1,"25x9"
6526.7,-3976,"25x11"
6516,-4371.7,"25x13"
6516.1,-4769,"25x15"
6517.1,-5175.1,"25x17"
6521.6,-5575,"25x19"
6513,-5972.1,"25x21"
6517.3,-6374.1,"25x23"
6516.2,-6769.8,"25x25"
6519.5,-7175.1,"25x27"
6519.4,-7566.8,"25x29"
6519.4,-7967.6,"25x31"
6511.1,-8379,"25x33"
6513.3,-8775.5,"25x35"
6511.4,-9178.4,"25x37"
6503.9,-9580.3,"25x39"
6513.5,-9980,"25x41"
6699.5,-2147.7,"26x2"
6698.2,-2548.6,"26x4"
6701.2,-2955.6,"26x6"
6707,-3358.2,"26x8"
6706.8,-3759.1,"26x10"
6710.3,-4153.8,"26x12"
6695.1,-4556.1,"26x14"
6698.1,-4956.8,"26x16"
6701,-5358.2,"26x18"
6702.8,-5759.1,"26x20"
6691.8,-6156.2,"26x22"
6696.8,-6557.8,"26x24"
6700.7,-6960.1,"26x26"
6700,-7360.1,"26x28"
6694.7,-7758.8,"26x30"
6694.6,-8156.5,"26x32"
6699.5,-8561.9,"26x34"
6699.2,-8963.5,"26x36"
6697.8,-9364.2,"26x38"
6690.6,-9766.1,"26x40"
6696.8,-10164.2,"26x42"
6879.9,-2354.6,"27x3"
6869.3,-2754.4,"27x5"
6880.6,-3160.5,"27x7"
6884.3,-3562.7,"27x9"
6887.8,-3963.4,"27x11"
6875.8,-4360.4,"27x13"
6877.1,-4765.6,"27x15"
6877.3,-5168.7,"27x17"
6885.6,-5564.4,"27x19"
6872.9,-5961.9,"27x21"
6878.2,-6362.6,"27x23"
6880.8,-6763.9,"27x25"
6882.9,-7165.7,"27x27"
6872.3,-7565.8,"27x29"
6874.6,-7963.4,"27x31"
6883.7,-8370.7,"27x33"
6880.2,-8766.4,"27x35"
6879.1,-9167.8,"27x37"
6868.8,-9573.5,"27x39"
6877,-9971.5,"27x41"
7060.2,-2556.1,"28x4"
7059.6,-2957.8,"28x6"
7062.9,-3359.3,"28x8"
7067.8,-3761.3,"28x10"
7066.9,-4161.6,"28x12"
7058.5,-4557.6,"28x14"
7058.9,-4958.8,"28x16"
7068,-5364,"28x18"
7063.6,-5761.7,"28x20"
7055.2,-6159.8,"28x22"
7057.7,-6562.7,"28x24"
7072.4,-6963,"28x26"
7065,-7362.5,"28x28"
7057.9,-7753.2,"28x30"
7054.7,-8164.7,"28x32"
7056.6,-8569.8,"28x34"
7056.2,-8971.9,"28x36"
7050.9,-9367.7,"28x38"
7053.8,-9769.1,"28x40"
7060.6,-10172.2,"28x42"
7230.9,-2754.8,"29x5"
7242.1,-3156.9,"29x7"
7245.8,-3562.1,"29x9"
7251.9,-3962.3,"29x11"
7236.7,-4360.3,"29x13"
7238.7,-4759.2,"29x15"
7240.7,-5161.9,"29x17"
7244,-5561.1,"29x19"
7236,-5956.4,"29x21"
7236.3,-6361.4,"29x23"
7245.1,-6763.5,"29x25"
7244.4,-7160.4,"29x27"
7238.5,-7565.2,"29x29"
7235.2,-7956.6,"29x31"
7238.8,-8368.1,"29x33"
7236.8,-8764,"29x35"
7238.2,-9167.2,"29x37"
7232.7,-9569,"29x39"
7415,-2969.8,"30x6"
7415.1,-3372.9,"30x8"
7428,-3777.6,"30x10"
7418.5,-4164.2,"30x12"
7429.3,-4578.4,"30x14"
7417.2,-4964.7,"30x16"
7406.7,-5360.5,"30x18"
7421.1,-5767,"30x20"
7396.3,-6168.7,"30x22"
7419.5,-6578,"30x24"
7419.6,-6975.5,"30x26"
7418.7,-7365.9,"30x28"
7403.6,-7758.1,"30x30"
7412.4,-8160.5,"30x32"
7412.5,-8556.2,"30x34"
7407.9,-8968.5,"30x36"
7395.8,-9371.9,"30x38"
7398.2,-9767,"30x40"
7576.2,-2753.1,"31x5"
7587.1,-3183.3,"31x7"
7601,-3595,"31x9"
7601.9,-3972.2,"31x11"
7585.4,-4363.8,"31x13"
7599.3,-4766.1,"31x15"
7595.5,-5167.6,"31x17"
7591.8,-5571.9,"31x19"
7590.3,-5961.6,"31x21"
7587.8,-6371.5,"31x23"
7597.4,-6773.1,"31x25"
