cell_1 cell_2 cell_3 cell_4 cell_5 cell_6 cell_7 cell_8 cell_9 cell_10 cell_11 cell_12 cell_13 cell_14 cell_15 cell_16 cell_17 cell_18 cell_19 cell_20 cell_21 cell_22 cell_23 cell_24 cell_25 cell_26 cell_27 cell_28 cell_29 cell_30 cell_31 cell_32 cell_33 cell_34 cell_35 cell_36 cell_37 cell_38 cell_39 cell_40 cell_41 cell_42 cell_43 cell_44 cell_45 cell_46 cell_47 cell_48 cell_49 cell_50 cell_51 cell_52 cell_53 cell_54 cell_55 cell_56 cell_57 cell_58 cell_59 cell_60 cell_61 cell_62 cell_63 cell_64 cell_65 cell_66 cell_67 cell_68 cell_69 cell_70 cell_71 cell_72 cell_73 cell_74 cell_75 cell_76 cell_77 cell_78 cell_79 cell_80 cell_81 cell_82 cell_83 cell_84 cell_85 cell_86 cell_87 cell_88 cell_89 cell_90 cell_91 cell_92 cell_93 cell_94 cell_95 cell_96 cell_97 cell_98 cell_99 cell_100 cell_101 cell_102 cell_103 cell_104 cell_105 cell_106 cell_107 cell_108 cell_109 cell_110 cell_111 cell_112 cell_113 cell_114 cell_115 cell_116 cell_117 cell_118
Vwa5b2 2 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 2 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 1 0 0 0 0 0 2 0 0 0 2 0 1 5 0 1 0 0 2 0 0 2 0 0 0 1 0 1 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 1 0 2 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0
Wasf2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 2 0 1 2 0 0 0 0 0 0 0 0 0 0 1 1 0
Wasf3 1 0 1 0 2 2 2 3 0 0 0 0 0 1 1 2 0 0 0 0 0 3 0 3 2 0 2 0 1 2 2 1 0 0 0 0 2 0 0 2 2 0 3 0 2 0 1 0 3 0 0 0 0 0 2 0 0 0 0 2 1 0 2 0 0 2 2 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 1 2 0 0 1 0 2 2 2 1 2 0 1 0 0 0 2 0 2 2 0 2 0 0 3 2 0 0 0 2
Wdr19 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 0 0 0 0 0 0 0 2 0 2 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 2 0 0 0 0 0 0 1 2 0 0 0 1 0 1 0 0 0
Wipf1 2 0 0 0 2 0 1 0 0 0 0 0 0 0 2 0 0 2 1 0 0 0 0 1 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 2 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 2 1 0 2 0 0 0 0 0 0 3 0 0 0 1 0 0 0 0 0 2 1 2 0 0 0 0 1 0 2 0 1 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0
Wnk1 1 2 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 2 0 0 0 1 0 0 1 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 1 0 1 2 0 2 0 0 2 3 2 2 0 2 1 2 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 2 2 0 0 0 2 1 1 0 0 0 2 0 0 0 2 0 0 1 0 0 0
Wnt16 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 2 2 0 0 0 1 0 0 0 0 0 0 0 0 0 2 2 0 0 1 2 0 0 0 4 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 2 0 0 0 1 0 0 0
Xpot 2 0 0 3 0 3 1 0 0 2 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 3 0 0 0 0 0 2 0 0 2 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 2 2 1 0 0 0 0 0 0 1 1 1 0 0 1 0 2 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Xpr1 0 0 1 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 2 0 0 0 0 1 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 1 0 0 2 0 2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 2 0 0 2 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 1
Xylt1 1 0 0 2 1 1 3 0 1 0 1 1 0 1 1 0 0 2 0 2 7 2 1 0 0 0 0 0 1 4 1 4 0 0 0 2 0 2 0 0 0 2 0 0 2 0 0 4 0 0 0 0 1 6 1 1 2 0 0 2 0 2 1 2 0 0 0 0 0 0 2 2 1 2 0 0 2 0 0 0 0 2 1 0 1 0 0 0 1 2 0 0 0 0 0 2 1 0 2 1 2 1 0 0 0 0 2 1 0 0 2 0 1 0 3 0 0 2
Zbtb37 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 1 0 0 0 0 2 0 0 0 1 2 0 0 0 2 0 0 0 0 2 0 2 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 1 0 2 0 0 0 2 0 0 1 0 0 0 0 0 0 0 1
Zc3h10 0 2 0 0 0 0 0 0 0 0 1 0 2 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 2 0 2 2 1 1 0 0 0 0 2 0 2 0 0 2 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0
Zc3h12d 2 0 0 0 1 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 2 0 2 0 0 0 0 0 0 0 0 0 2 0 2 0 0 4 2 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 1 0 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 0 1 0 0 0 2 1 1 0 0 0 0 0 0 1
Zcchc12 0 0 0 0 0 3 0 4 0 0 0 0 0 0 2 0 0 0 0 0 0 1 2 0 0 2 2 0 0 0 1 0 2 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 5 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 2 2 0 2 1 0 0 0 2 0 0 0 0
Zdhhc18 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0
Zfand2a 2 0 0 0 0 0 0 2 0 0 3 0 0 2 1 0 0 0 0 0 2 0 0 0 0 0 2 0 2 0 0 2 0 2 0 2 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 1 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 2 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0
Zfand4 2 0 0 0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 2 1 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 1 0 0 0 0 0
Zfp157 0 2 0 0 0 2 1 0 3 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 2 0 0 1 0 1 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0
Zfp266 2 0 0 1 1 0 1 0 2 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 2 2 0 0 0 1 2 0 0 0 0 0 2 0 0 0 2 0 0 0 2 0 0 3 0 0 0 2 0 0 0 2 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 0 0
Zfp281 1 0 0 0 0 0 1 0 2 0 0 0 0 0 1 0 0 1 0 2 2 0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 2 0 0 2 0 0 0 0 0 0 3 2 1 0 2 2 0 0 0 2 2 0 0 1 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 1 2 0 0 2 0 2 1 1 0 0 0 0 0 0
Zfp334 4 0 2 0 0 1 1 0 0 0 1 1 0 1 0 0 2 2 0 0 0 1 0 0 2 0 2 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 2 0 2 0 0 1 0 0 1 1 2 0 1 0 2 0 0 2 0 0 0 1 2 1 2 2 0 0 0 0 0 0 0 0 1 1 2 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0
Zfp36l1 2 0 0 0 0 1 0 0 0 2 1 2 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 2 2 0 0 2 0 1 0 0 0 0 0 0 2 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 2 0 0 0 0 0 1 0 0 1
Zfp423 3 2 1 0 0 0 0 1 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 2 0 2 1 0 0 2 1 2 2 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 2 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 1 1 0 1 2 0 0 0 0 2 0 0 1 2 0 2 0 0 0 2 0 0 0 2 1 0 0 0 0 1
Zfp474 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 2 0 0 0 0 2 0 0 0 0 0 1 2 0 0 0 2 0 0 0 0 2 0 0 2 0 0 0 2 0 0 0 2 0 0 0 0 1 0 1 0 2 0 2 0 0 0 0 2 0 0 1 0 0 0 1 0 1 0 1 0 0 0
Zfp628 1 0 0 2 1 2 0 2 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 0 0 0 0 2 0 0 0 0 2 0 1 0 0 2 0 0 0 1 2 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 2 0 2 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 2 1 0 0 0 1 0 0 2 2 2 2 0 0 0 0 0 0 2 0 0 0
Zfp689 0 0 2 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 2 0 0 0 2 0 0 0 1 0 0 1 0 1 0 0 2 2 1 0 0 1 2 0 2 0 0 0 2 0 0 2 0 0 0 0 3 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 3 2 0 1 0 0 0 2 0 0 0 0 2 0 1 0 0 0
Zfp697 2 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 2 0 1 0 0 2 2 0 0 1 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 1 0 0 0 2 0 1 0 0 0 0
Zfp865 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 2 0 0 0 0 3 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 2 0 0 0 3 1 2 0 0 0 0 0 2 0 0 2 0 0 0 0 0 2 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 2 2 2 0 0 0 2 2 2 0 2 0 2
Zic2 0 0 3 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 1 0 0 0 0 0 0 0 2 0 0
Zic3 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
Zkscan17 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
Zkscan5 2 0 0 0 2 2 0 0 0 0 1 1 0 3 0 2 0 1 0 0 0 0 0 0 2 0 0 1 1 0 0 0 0 2 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 2 1 0 0 2 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 2
Zscan2 2 2 2 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 2 0 0 0 0 1 0 0 1 0 0 0 0 2 0 0 1 1 0 0 0 0 0 2 0 0 0 3 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 3 0 0 0 0 0
Zyx 1 0 0 2 2 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 2 1 0 0 0
Mphosph8 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1 2 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 2 0 0 0 2 1 2 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0 0 0 0 0 0 0 2 0 2 0 0 1 0 0
Lingo1 19 7 13 2 4 2 18 3 5 5 15 8 2 9 15 0 2 5 2 0 9 2 0 0 7 0 9 2 4 3 3 6 7 8 0 2 0 0 0 0 0 2 0 0 0 0 2 2 0 0 1 8 2 3 11 12 7 3 5 2 17 2 15 7 8 2 20 12 4 3 8 13 16 7 2 3 6 0 5 9 7 13 9 2 6 0 0 4 9 7 2 3 4 2 2 8 7 4 5 0 7 8 9 17 0 3 7 4 3 0 4 8 11 2 8 0 0 0
Npepps 2 0 0 0 0 0 1 0 0 2 1 2 0 0 2 0 0 0 2 2 1 2 0 0 1 0 2 0 2 2 0 0 0 0 0 1 0 0 2 1 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 1 1 2 0 0 2 2 1 0 0 2 0 1 2 2 1 0 2 1 0 2 0 0 1 2 0 1 0 3 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 1 0 0 0 0 0 2
Ogt 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 2 0 0 0 1 0 0 2 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 2 0 2 0 0 2 0 0 0 0 2 0 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0 0
Cacnb4 2 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 2 2 0 1 0 0 0 1 1 0 2 2 0 0 0 0 0 0 0 1 2 2 0 2 0 0 0 2 0 1 0 0 2 0 0 0 0 0 0 0 2 2 0 2 0 0 0 0 2 0 0 0 0 1 0 0 0 0
Omg 0 0 0 2 1 2 2 1 0 0 2 0 0 0 0 0 0 0 3 0 2 0 0 2 0 0 2 1 0 1 2 0 2 0 1 0 0 1 0 2 0 2 2 0 0 0 1 3 2 2 0 0 0 2 0 2 2 2 2 2 2 0 2 0 0 1 1 0 0 0 2 1 0 1 0 0 2 0 1 1 0 2 0 0 0 1 0 0 0 2 0 0 2 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 2 0 0 3 1 0 0 0
Gcc2 1 0 1 2 0 1 0 1 0 0 0 0 0 2 0 0 0 2 0 0 2 2 0 0 0 0 0 0 1 2 2 0 0 0 2 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 2 0 1 0 0 0 0 2 0 0 1 0 2 1 0 1 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 2 0 0 2 0 0 0 0 1 0 2 0 0 1 0 0 0 0 0 0 0 0 0
Kcnq2 4 2 0 0 0 0 0 1 0 0 3 0 0 2 0 1 0 0 0 1 0 0 0 0 0 2 2 0 1 0 2 0 0 2 0 1 0 2 0 0 0 0 0 0 1 0 2 2 3 0 0 0 0 0 0 2 0 0 0 1 1 0 0 2 2 0 1 2 2 0 1 1 2 0 0 0 3 0 0 0 0 0 2 1 0 0 0 2 0 2 0 0 2 0 0 0 0 2 0 1 0 2 1 0 0 0 0 0 0 1 0 0 4 1 5 0 0 1
Scamp1 1 1 2 0 2 0 1 1 2 1 0 1 0 0 2 0 1 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 2 0 0 2 0 1 0 0 1 0 0 0 0 1 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 2 2 2 0 0 0 0 0 0 0 2 0 0 0 0 2 2 0 2 0 0 0 1 0 0 2
Slc17a7 19 6 20 0 13 3 25 4 8 11 23 6 2 10 15 2 10 8 2 3 16 2 0 1 8 0 12 4 13 3 10 10 11 9 0 2 0 0 0 2 0 2 0 0 0 0 0 0 2 0 0 3 4 3 13 8 10 8 12 1 10 2 14 14 24 2 15 9 12 3 11 30 9 8 4 3 12 0 10 9 7 10 13 6 9 2 0 6 12 18 7 4 7 0 1 7 9 19 3 0 13 12 18 13 0 2 8 12 9 0 6 11 19 1 14 0 0 0
Lynx1 0 1 0 3 1 3 3 6 0 0 0 1 1 1 0 2 2 0 0 2 0 8 2 0 0 0 0 0 3 2 2 0 2 0 0 12 0 2 0 0 3 0 0 0 0 0 1 0 4 0 0 0 0 4 7 0 2 6 6 4 2 2 0 1 4 0 0 2 0 4 3 3 0 0 2 0 6 2 0 1 0 0 1 0 0 3 0 0 2 2 0 0 1 4 0 0 1 2 0 0 0 0 0 3 1 0 3 0 0 1 2 0 0 2 0 1 1 2
Pcnp 0 1 1 0 0 0 1 1 0 2 0 0 0 4 0 0 1 0 2 0 0 0 0 0 0 2 0 2 0 2 0 0 0 0 0 2 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 2 2 2 1 1 1 2 0 2 0 1 0 1 0 0 0 0 0 2 0 2 0 0 0 0 1 0 0 0 2 2 1 0 0 0 0 2 0 0 3 0 0 0 0 0 0 0 3 0 1 0 0 0 0 2 2 0 0 0 0 1 1 0 0 0
Dner 2 0 1 0 2 0 1 2 0 0 1 2 0 0 0 0 2 0 0 0 0 1 0 3 0 0 0 0 1 0 0 0 0 0 0 6 0 0 0 0 0 2 1 2 2 0 2 5 0 2 0 0 0 2 1 0 0 0 0 4 0 1 0 0 0 1 1 0 0 1 0 1 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 2 0 2 0 0 0 0 2 0 0 0 0 2 2 2 0 2 4
Atp1a1 23 2 8 0 11 2 9 0 4 4 9 11 2 8 12 0 4 2 2 0 3 0 2 2 5 0 1 3 9 7 4 6 3 6 0 1 0 0 0 2 3 0 0 0 0 0 2 0 1 0 2 2 5 2 25 5 8 12 11 1 7 2 3 12 9 3 16 10 7 6 6 16 7 15 4 3 11 0 1 7 8 8 5 2 4 2 0 3 8 11 3 9 5 1 2 8 9 11 8 0 13 11 13 4 0 0 4 5 0 2 5 8 7 0 5 0 0 0
Fam49b 2 2 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 2 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 1 1 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 2 0 0 0 0 1 0 2 1 0 1 0 0 0 0 0 1 0 0 1 0 0 2 0 0 0 0 0
Camk4 2 0 1 0 0 0 0 0 0 0 1 0 0 0 2 0 2 2 0 0 1 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 1 1 0 0 0 2 2 0 2 0 1 0 2 0 0 0 0 0 0 0 3 0 0 0 0 1 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 0
Scg3 1 0 1 0 0 2 0 2 0 0 0 0 0 4 0 0 2 0 3 0 1 0 2 1 0 0 2 2 1 0 2 0 1 0 4 3 6 0 0 2 0 3 4 3 8 2 4 2 2 2 4 0 0 2 1 0 2 0 1 0 0 2 0 0 2 5 0 3 0 0 0 1 1 0 1 1 0 0 0 2 1 0 1 0 0 2 2 0 5 1 0 0 2 0 0 2 0 2 0 2 0 2 0 2 0 0 2 1 0 0 0 2 1 1 2 0 2 7
Ist1 2 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 1 0 0 2 0 2 0 0 2 0 1 0 2 0 2 0 0 2 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 2 0 2 0 0 0 2 0 0 0 2 0 1 0 0 0 0 0 0 0 1 0 0 0 2 0 2 1 0 2 0 2 2 0 0 1 0 0 0 0 0 0 2 0 2 2 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0
Nr3c1 1 2 2 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 2 0 2 0 0 0 1 2 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 2 2 2 0 2 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 2 1 2 0 2 0 0 0 0 0 0 3 0 0 0 0 0
Gprasp2 4 0 2 0 0 0 1 0 0 2 1 0 0 1 0 1 0 0 3 0 0 2 0 0 0 0 0 2 2 0 3 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 2 0 1 1 0 0 0 2 0 2 0 0 0 0 1 2 2 1 2 0 0 0 0 0 2 0 2 0 0 0 0 0 1 0 0 2 1 0 0 0 3 2 0 1 0 1 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0
Sdf2 0 0 2 0 0 0 0 1 0 0 0 2 0 0 1 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 2 0 2 0 0 2 2 0 0 0 0 0 2 0 1 2 0 0 0 2 0 0 0 0 0 2 0 2 0 0 0 0 2 1 0 1 0 2 0 0 0 2 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 2 1 0 2 0 0 0 1 2 0 0 0 2 2 0 1 0 0 0
