uniq_ID	Field_of_View	cell_types
cell_428	4	Oligodendrocyte
cell_429	4	Oligodendrocyte
cell_430	4	Endothelial
cell_431	4	Oligodendrocyte
cell_432	4	Oligodendrocyte
cell_433	4	Endothelial
cell_434	4	Oligodendrocyte
cell_435	4	Excitatory neuron
cell_436	4	Excitatory neuron
cell_437	4	Excitatory neuron
cell_438	4	Endothelial
cell_439	4	Excitatory neuron
cell_440	4	Excitatory neuron
cell_441	4	Excitatory neuron
cell_442	4	Excitatory neuron
cell_443	4	Endothelial
cell_444	4	Excitatory neuron
cell_445	4	Excitatory neuron
cell_446	4	Excitatory neuron
cell_447	4	Excitatory neuron
cell_448	4	Oligodendrocyte
cell_449	4	Excitatory neuron
cell_450	4	Excitatory neuron
cell_451	4	Microglia
cell_452	4	Excitatory neuron
cell_453	4	Oligodendrocyte
cell_454	4	Excitatory neuron
cell_455	4	Excitatory neuron
cell_456	4	Endothelial
cell_457	4	Excitatory neuron
cell_458	4	Excitatory neuron
cell_459	4	Astrocyte
cell_460	4	Astrocyte
cell_461	4	Endothelial
cell_462	4	Endothelial
cell_463	4	Excitatory neuron
cell_464	4	Excitatory neuron
cell_465	4	Excitatory neuron
cell_466	4	Excitatory neuron
cell_467	4	Excitatory neuron
cell_468	4	Excitatory neuron
cell_469	4	Excitatory neuron
cell_470	4	Excitatory neuron
cell_471	4	Excitatory neuron
cell_472	4	Excitatory neuron
cell_473	4	Microglia
cell_474	4	Excitatory neuron
cell_475	4	Excitatory neuron
cell_476	4	Excitatory neuron
cell_477	4	Excitatory neuron
cell_478	4	Excitatory neuron
cell_479	4	Excitatory neuron
cell_480	4	Excitatory neuron
cell_481	4	Excitatory neuron
cell_482	4	Endothelial
cell_483	4	Excitatory neuron
cell_484	4	Endothelial
cell_485	4	Excitatory neuron
cell_486	4	Oligodendrocyte
cell_487	4	Astrocyte
cell_488	4	Oligodendrocyte
cell_489	4	Excitatory neuron
cell_490	4	Oligodendrocyte
cell_491	4	Astrocyte
cell_492	4	Excitatory neuron
cell_493	4	Excitatory neuron
cell_494	4	Excitatory neuron
cell_495	4	Excitatory neuron
cell_496	4	Interneuron
cell_497	4	Astrocyte
cell_498	4	Excitatory neuron
cell_499	4	Excitatory neuron
cell_500	4	Ependymal
cell_501	4	Excitatory neuron
cell_502	4	Neuroblast
cell_503	4	Excitatory neuron
cell_504	4	Excitatory neuron
cell_505	4	Astrocyte
cell_506	4	Oligodendrocyte
cell_507	4	Oligodendrocyte
cell_508	4	Excitatory neuron
cell_509	4	Interneuron
cell_510	4	Oligodendrocyte
cell_511	4	Excitatory neuron
cell_512	4	Astrocyte
cell_513	4	Excitatory neuron
cell_514	4	Excitatory neuron
cell_515	4	Excitatory neuron
cell_516	4	Astrocyte
cell_517	4	Excitatory neuron
cell_518	4	Excitatory neuron
cell_519	4	Excitatory neuron
cell_520	4	Excitatory neuron
cell_521	4	Excitatory neuron
cell_522	4	Excitatory neuron
cell_523	4	Excitatory neuron
cell_524	5	Neural Stem
cell_525	5	Neural Stem
cell_526	5	Neuroblast
cell_527	5	Neuroblast
cell_528	5	Neuroblast
cell_529	5	Ependymal
cell_530	5	Neuroblast
cell_531	5	Neuroblast
cell_532	5	Choroid Plexus
cell_533	5	Neuroblast
cell_534	5	Neuroblast
cell_535	5	Ependymal
cell_536	5	Neuroblast
cell_537	5	Excitatory neuron
cell_538	5	Neuroblast
cell_539	5	Neural Stem
cell_540	5	Choroid Plexus
cell_541	5	Neuroblast
cell_542	5	Neuroblast
cell_543	5	Neural Stem
cell_544	5	Neural Stem
cell_545	5	Neuroblast
cell_546	5	Neuroblast
cell_547	5	Neural Stem
cell_548	5	Neuroblast
cell_549	5	Neuroblast
cell_550	5	Neural Stem
cell_551	5	Neuroblast
cell_552	5	Neuroblast
cell_553	5	Neuroblast
cell_554	5	Neuroblast
cell_555	5	Neuroblast
cell_556	5	Neuroblast
cell_557	5	Neuroblast
cell_558	5	Neuroblast
cell_559	5	Neural Stem
cell_560	5	Neural Stem
cell_561	5	Neuroblast
cell_562	5	Neuroblast
cell_563	5	Neural Stem
cell_564	5	Neuroblast
cell_565	5	Neuroblast
cell_566	5	Oligodendrocyte
cell_567	5	Astrocyte
cell_568	5	Oligodendrocyte
cell_569	5	Oligodendrocyte
cell_570	5	Oligodendrocyte
cell_571	5	Microglia
cell_572	5	Neural Stem
cell_573	5	Excitatory neuron
cell_574	5	Neural Stem
cell_575	5	Neuroblast
cell_576	5	Interneuron
cell_577	5	Neuroblast
cell_578	5	Ependymal
cell_579	5	Neural Stem
cell_580	5	Interneuron
cell_581	5	Interneuron
cell_582	5	Interneuron
cell_583	5	Astrocyte
cell_584	5	Neuroblast
cell_585	5	Endothelial
cell_586	5	Ependymal
cell_587	5	Neural Stem
cell_588	5	Interneuron
cell_589	5	Astrocyte
cell_590	5	Microglia
cell_591	5	Choroid Plexus
cell_592	5	Interneuron
cell_593	5	Interneuron
cell_594	5	Endothelial
cell_595	5	Neural Stem
cell_596	5	Interneuron
cell_597	5	Neural Stem
cell_598	5	Choroid Plexus
cell_599	5	Interneuron
cell_600	5	Astrocyte
cell_601	5	Excitatory neuron
cell_602	5	Interneuron
cell_603	5	Astrocyte
cell_604	5	Choroid Plexus
cell_605	5	Neuroblast
cell_606	5	Interneuron
cell_607	5	Ependymal
cell_608	5	Choroid Plexus
cell_609	5	Neuroblast
cell_610	5	Neuroblast
cell_611	5	Interneuron
cell_612	5	Endothelial
cell_613	5	Neuroblast
cell_614	5	Choroid Plexus
cell_615	5	Neuroblast
cell_616	5	Neuroblast
cell_617	5	Neural Stem
cell_618	5	Interneuron
cell_619	5	Endothelial
cell_620	5	Neuroblast
cell_621	5	Neuroblast
cell_622	5	Neuroblast
cell_623	5	Neuroblast
cell_624	5	Ependymal
cell_625	5	Endothelial
cell_626	5	Neural Stem
cell_627	5	Neural Stem
cell_628	5	Neural Stem
cell_629	5	Neural Stem
cell_630	5	Neural Stem
cell_631	5	Neuroblast
cell_632	5	Oligodendrocyte
cell_633	5	Neuroblast
cell_634	5	Neural Stem
cell_635	5	Oligodendrocyte
cell_636	5	Oligodendrocyte
cell_637	5	Microglia
cell_638	5	Oligodendrocyte
cell_639	5	Oligodendrocyte
cell_640	5	Neuroblast
cell_641	5	Neuroblast
cell_642	5	Interneuron
