Field of View,Cell ID,X,Y
3,341,1351.86,966.90
3,342,1342.02,856.05
3,343,1326.61,716.81
3,344,1319.78,1873.10
3,345,1315.75,366.31
3,346,1305.31,1698.00
3,347,1256.51,1441.50
3,348,1280.08,985.08
3,349,1278.99,1559.70
3,350,1276.22,482.59
3,351,1265.13,859.35
3,352,1243.84,1768.80
3,353,1235.66,1052.80
3,354,1225.99,469.33
3,355,1195.46,1909.70
3,356,1177.91,699.51
3,357,1161.15,993.52
3,358,1166.76,475.36
3,359,1153.05,1725.60
3,360,1134.39,775.74
3,361,1144.01,914.75
3,362,1149.40,1374.10
3,363,1118.09,847.67
3,364,1131.49,1124.10
3,365,1112.48,499.00
3,366,1121.25,336.15
3,367,1099.19,1539.60
3,368,1036.40,1473.90
3,369,1007.10,904.01
3,370,992.30,520.84
3,371,958.90,413.05
3,372,958.80,1345.60
3,373,937.60,1487.50
3,374,925.80,1010.80
3,375,916.00,271.68
3,376,900.90,475.72
3,377,909.70,1259.80
3,378,891.00,580.90
3,379,870.40,1083.20
3,380,875.60,1612.40
3,381,883.70,748.67
3,382,843.50,1758.60
3,383,838.50,894.31
3,384,829.40,1354.00
3,385,778.80,1227.80
3,386,770.20,536.66
3,387,724.90,1534.40
3,388,727.20,784.88
3,389,718.90,432.49
3,390,693.90,1147.60
3,391,659.20,303.16
3,392,613.00,808.90
3,393,589.20,1609.40
3,394,584.10,1101.10
3,395,567.10,972.21
3,396,543.80,1185.60
3,397,535.90,1413.40
3,398,534.00,1297.30
3,399,525.70,762.65
3,400,515.30,430.62
3,401,496.50,1702.90
3,402,488.80,592.77
3,403,487.00,1867.00
3,404,464.60,1413.60
3,405,445.50,1781.40
3,406,453.70,1137.30
3,407,422.60,422.92
3,408,415.10,1050.70
3,409,399.50,1219.80
3,410,374.10,843.53
3,411,364.20,1895.40
3,412,316.50,447.82
3,413,315.80,538.71
3,414,306.30,1185.90
3,415,279.90,972.19
3,416,280.30,325.14
3,417,308.00,1581.50
3,418,270.20,1802.90
3,419,214.20,1108.70
3,420,1553.60,1596.60
3,421,1400.73,1298.90
3,422,1328.42,1352.20
4,423,1796.55,1008.40
4,424,1774.78,1253.30
4,425,1746.86,828.07
4,426,1732.85,1175.30
4,427,1705.75,1496.10
4,428,1639.59,787.84
4,429,1643.12,637.70
4,430,1635.14,1535.80
4,431,1604.50,1049.90
4,432,1563.17,856.50
4,433,1540.02,1431.20
4,434,1493.25,1365.50
4,435,1505.66,1669.50
4,436,1478.55,649.07
4,437,1455.99,1457.30
4,438,1453.60,1748.30
4,439,1405.06,1142.40
4,440,1382.05,1401.10
4,441,1368.87,594.37
4,442,1352.68,1462.60
4,443,1344.51,912.72
4,444,1259.88,979.93
4,445,1267.71,572.90
4,446,1247.48,1199.90
4,447,1188.47,1052.50
4,448,1163.24,1476.80
4,449,1139.64,1025.60
4,450,1119.79,1694.60
4,451,1115.25,756.22
4,452,1125.99,1346.70
4,453,1083.28,1015.00
4,454,1070.36,1214.20
4,455,1033.90,1511.00
4,456,974.10,1704.50
4,457,977.00,514.98
