x	y	z
-764.6622445	-334.38085	260
-763.6044635	-480.251594	260
-759.9737955	-342.010821	260
-752.9096765	-428.413814	260
-738.1704585	-325.91041	260
-732.3264915	-493.49362	260
-723.5011185	-405.681056	260
-725.2579105	-359.891516	260
-716.8936335	-308.771293	260
-709.0580405	-443.003928	260
-708.2903525	-402.540665	260
-868.2987335	-437.398286	260
-794.8574375	-404.000972	260
-786.2375035	-477.515949	260
-773.5115255	-474.901593	260
-756.0181725	-312.342242	260
-749.7712965	-490.26762	260
-749.4529745	-416.633614	260
-740.3196645	-337.935522	260
-736.0902055	-450.420802	260
-711.7747055	-383.057658	260
-888.9581635	-409.521014	260
-825.9954725	-352.510256	260
-790.4958935	-370.199851	260
-775.6332115	-309.0667	260
-772.7060085	-345.242187	260
-887.7826495	-368.425324	260
-885.1122365	-371.768575	260
-801.5488325	-485.851346	260
-764.7007475	-308.190634	260
-724.3645065	-378.969334	260
-719.6439455	-383.583135	260
-889.2910105	-223.409631	260
-883.5444585	-261.085878	260
-878.1621725	-281.481747	260
-869.0303605	-149.062066	260
-860.6371845	-200.982798	260
-860.9486005	-231.577113	260
-856.2236575	-117.785523	260
-849.2706045	-151.289267	260
-845.0650045	-173.875522	260
-846.9520175	-250.882987	260
-842.1052265	-263.361732	260
-842.5322855	-230.799042	260
-835.7786335	-183.424113	260
-835.6182895	-130.650473	260
-817.2882715	-258.425766	260
-814.4633675	-146.31213	260
-813.5667955	-169.364125	260
-811.3594995	-235.25431	260
-807.0510515	-122.174968	260
-807.9731365	-187.722826	260
-806.8580325	-165.357386	260
-804.4004275	-111.596025	260
-806.3987445	-194.451937	260
-803.0593865	-174.605411	260
-801.0374085	-269.53101	260
-798.8364675	-150.169025	260
-794.6735715	-283.739784	260
-775.3987025	-239.694001	260
-773.0211595	-152.504462	260
-766.7590205	-125.492695	260
-762.0000805	-106.035659	260
-763.4660965	-261.749334	260
-758.2440485	-187.685117	260
-757.2860515	-167.825892	260
-753.8202835	-289.500792	260
-749.5009935	-131.681688	260
-740.6704215	-158.455124	260
-735.9337225	-108.442399	260
-735.8092345	-134.752224	260
-736.1389785	-217.869543	260
-728.5034235	-223.980998	260
-719.9604135	-106.36289	260
-718.3811855	-174.339313	260
-716.1346525	-186.884636	260
-714.9049605	-112.871906	260
-712.7215085	-217.381256	260
-888.1712995	-183.8159	260
-882.4124165	-162.613358	260
-860.6619565	-291.419193	260
-806.3901095	-213.614953	260
-784.1305485	-262.518522	260
-751.3768075	-108.756127	260
-734.8421695	-245.483937	260
-880.3450245	-206.951193	260
-870.1152485	-162.843072	260
-839.8105745	-114.345081	260
-783.9327085	-119.673636	260
-769.6335765	-217.073061	260
-724.9963335	-283.523879	260
-715.7418655	-145.206448	260
-793.6236015	-254.056811	260
-860.8649835	-135.657027	260
-819.2154085	-200.504464	260
-781.6815915	-135.675724	260
-761.6091805	-227.688549	260
-889.2396375	52.5715580000001	260
-885.8116085	1.70927100000017	260
-885.6970575	-9.81314999999995	260
-870.7288575	-56.5137319999999	260
-864.5029075	-2.45897299999979	260
-856.0904045	65.8053520000003	260
-858.2224635	92.6883830000002	260
-853.1996075	-77.3475939999998	260
-848.7253875	83.7446030000001	260
-835.1481735	40.3735110000002	260
-834.3297645	93.18676	260
-828.2093735	25.2570920000003	260
-825.0213995	-15.0622819999999	260
-821.2570965	68.8861120000001	260
-808.1476705	-17.302275	260
-806.1939105	16.076325	260
-806.0183805	74.1215610000004	260
-805.4530185	-44.0995939999998	260
-804.5572805	7.89766800000007	260
-803.1982265	86.1639070000001	260
-799.2706735	-54.5879769999997	260
-798.3118925	-21.4891669999997	260
-794.6107365	47.575057	260
-786.4580125	-1.80535599999985	260
-786.7770435	51.3834340000003	260
-782.4977895	19.8270310000003	260
-775.4876895	-23.1366629999998	260
-756.3725535	90.7060340000003	260
-756.0450025	77.2205960000001	260
-755.6909985	26.6392450000003	260
-752.1103455	-41.0797419999999	260
-750.7827705	51.4187980000002	260
-750.4491565	-11.6063439999998	260
-746.6610955	2.54282700000022	260
-745.3904805	-54.900228	260
-749.3797665	35.1597710000001	260
-741.0812255	-47.044218	260
-738.5153045	-0.0185010000000148	260
-740.9850215	-63.4350639999998	260
-738.2007765	25.7864480000003	260
-739.5717765	72.264107	260
-726.9773415	-22.9449329999998	260
-719.1068715	22.9162160000001	260
-712.0439465	88.0054100000002	260
-714.1135565	-10.9331459999999	260
-710.0877795	-72.696242	260
-883.5398775	-48.8489339999996	260
-852.4136835	32.7889560000003	260
-847.5797545	-10.862756	260
-843.2000875	2.22688800000014	260
-815.4824475	-71.034208	260
-809.6674345	-84.958079	260
-782.1006355	38.1956170000003	260
