"V1" "V2" "V3"
"6953" 1108 408 23
"33579" 1271 1500 94
"21191" 1141 1045 68
"24997" 868 132 69
"14780" 1326 1249 42
"24801" 1552 1239 74
"28591" 1269 934 83
"18840" 704 114 53
"9277" 1191 258 32
"25456" 1075 487 71
"32098" 1276 628 87
"28704" 225 1347 79
"28324" 348 803 86
"32484" 1342 1268 94
"29226" 600 715 84
"21188" 1140 891 65
"7319" 995 1249 32
"16020" 1636 1066 66
"2687" 701 935 22
"12562" 193 1191 42
"27975" 560 333 89
"3937" 1313 1347 16
"31553" 728 789 92
"21014" 504 463 65
"23082" 950 1011 64
"12624" 553 48 43
"14790" 1365 683 42
"11822" 348 1470 43
"17871" 1309 1313 55
"14141" 532 1085 44
"6657" 1374 1004 21
"27188" 432 265 80
"21313" 54 1027 60
"18690" 195 84 53
"29118" 178 1109 87
"27273" 765 1397 75
"17585" 156 1330 56
"552" 940 1016 7
"14342" 1252 645 46
"19124" 321 863 59
"13682" 73 353 46
"7004" 1255 265 30
"14933" 507 829 49
"14744" 1206 1048 42
"20800" 1140 368 65
"10967" 58 220 33
"32870" 803 497 92
"20266" 480 397 67
"9241" 1103 744 35
"9690" 1251 1524 39
"2083" 854 1107 17
"6681" 1508 802 25
"29469" 9 720 90
"12003" 1036 727 35
"24055" 258 437 67
"14369" 1339 774 47
"26565" 990 93 77
"24256" 1048 181 67
"26383" 324 1286 73
"5994" 462 786 25
"13469" 782 168 40
"13185" 1263 1090 43
"5148" 82 935 26
"5543" 76 1235 25
"29045" 1374 856 90
"14260" 1024 713 48
"48" 75 1371 6
"23809" 840 1410 67
"2632" 478 678 19
"3957" 1377 1406 19
"10954" 1589 1459 42
"28847" 748 1456 82
"472" 381 263 10
"9616" 1066 219 38
"25393" 886 1082 73
"16993" 887 781 53
"13488" 839 414 45
"26081" 713 1030 72
"388" 666 1061 7
"8688" 436 693 34
"3452" 858 765 15
"3405" 664 841 21
"325" 520 857 6
"29235" 642 168 85
"4115" 685 1321 15
"9318" 1367 639 31
"31344" 1304 1273 86
"22638" 643 1024 63
"32368" 910 793 93
"8837" 1036 628 33
"12762" 1128 667 37
"12442" 1236 725 38
"19475" 201 815 55
"11887" 614 831 40
"3798" 756 605 14
"32742" 1247 1198 93
"7905" 316 183 36
"5374" 909 35 19
"19897" 424 1129 62
"19502" 345 184 66
"25873" 1242 118 72
"5695" 739 1254 19
"1302" 249 263 12
"20210" 211 219 65
"23649" 21 984 67
"10286" 516 686 36
"11559" 936 1070 34
"21715" 1574 1421 61
"4553" 800 311 22
"26162" 980 758 76
"12216" 322 100 36
"2661" 580 1351 25
"17558" 1681 1326 49
"25121" 1294 891 75
"4604" 957 599 16
"3457" 866 1241 13
"20455" 1173 78 63
"17469" 1228 907 55
"17382" 899 595 50
"19438" 1625 1023 64
"19797" 1609 1302 60
"1261" 1201 1354 13
"29297" 873 12 80
"20702" 779 1514 64
"25325" 656 206 70
"29802" 1344 1388 87
"2244" 127 35 10
"20235" 338 1145 57
"15022" 815 196 56
"19760" 1324 1072 62
"6724" 175 947 25
"20765" 1019 215 64
"13090" 919 408 38
"10270" 445 439 42
"9071" 421 947 35
"24352" 1356 1277 71
"16928" 626 1261 51
"28457" 888 736 83
"5349" 857 958 26
"27245" 679 1152 75
"1992" 510 715 9
"18794" 569 772 54
"4064" 459 507 15
"5502" 1407 957 23
"320" 512 1420 9
"9145" 748 1149 28
"26123" 868 161 77
"21661" 1337 295 63
"23867" 1064 412 67
"30612" 31 1233 84
"26794" 430 1376 74
"8258" 208 129 32
"17653" 487 695 50
"29422" 1311 1300 80
"11907" 668 911 42
"4959" 899 416 22
"16662" 1114 435 49
"17831" 1194 889 61
"26156" 951 16 78
"2514" 1362 1218 15
"19805" 7 1522 61
"9945" 805 160 30
"13048" 730 373 46
"7433" 1386 300 28
"7849" 78 250 25
"26246" 1268 1483 77
"5645" 556 133 20
"24775" 1376 1078 72
"26020" 406 368 72
"7174" 433 1075 30
"26974" 1077 278 74
"25346" 745 127 75
"30436" 947 1397 88
"16200" 767 1126 48
"2988" 440 1370 18
"31482" 400 445 93
"29423" 1315 226 82
"21186" 1131 224 63
"27779" 1169 1014 82
"773" 505 1079 14
"5514" 1451 853 24
"3370" 522 788 19
"30516" 1207 648 83
"7263" 758 1078 23
"4318" 1341 623 21
"29880" 191 1330 89
"3551" 1218 123 18
"2425" 896 874 16
"17160" 1652 1526 54
"30260" 236 268 90
"20470" 1227 504 68
"25517" 1275 1171 70
"4865" 579 790 17
"11224" 1122 600 34
"14633" 856 409 45
"20080" 1199 562 56
"15620" 1396 812 44
"15094" 1032 389 44
"6281" 1405 319 26
"28748" 414 635 79
"24228" 944 1495 70
"3120" 930 1049 17
"25266" 399 875 78
"9296" 1240 327 34
"23175" 1222 295 64
"2764" 1003 163 15
"32276" 570 888 88
"8819" 948 410 33
"27198" 484 1097 83
"14816" 1494 1292 47
"24602" 831 1247 68
"28231" 15 837 78
"20853" 1336 375 59
"6737" 214 478 34
"30331" 575 491 89
"1155" 642 348 11
"30587" 1417 828 83
"9204" 948 652 33
"18257" 1379 966 54
"9918" 707 1258 30
"19877" 328 949 60
"702" 27 857 11
"13664" 1730 1444 41
"29335" 998 591 87
"9966" 885 310 33
"2161" 1103 1092 14
"2059" 754 322 11
"3821" 822 1258 20
"15268" 189 129 55
"24876" 325 937 71
"28558" 1191 365 78
"6032" 633 803 20
"29751" 1175 1495 81
"30821" 930 953 84
"30119" 1138 1095 83
"2659" 570 1441 17
"10678" 514 886 33
"19342" 1198 1473 61
"31161" 780 192 86
"14782" 1335 489 49
"5577" 237 1192 19
"29123" 197 51 87
"30974" 1620 1055 84
"10911" 1322 1445 32
"12500" 1464 1365 41
"16208" 801 1198 46
"14550" 569 728 47
"8886" 1190 1125 27
"31066" 386 377 93
"5078" 1315 1217 23
"25307" 594 1364 70
"13937" 1151 1402 40
"23055" 841 883 67
"12287" 693 578 46
"16791" 5 361 54
"13713" 249 1313 46
"29053" 1395 963 85
"30156" 1281 1526 91
"26831" 612 1522 80
"12193" 241 620 40
"8030" 872 1405 31
"13294" 110 498 45
"30149" 1255 252 87
"14820" 1519 807 43
"15881" 1011 1034 49
"297" 471 1024 26
"466" 319 491 12
"30193" 1518 1448 91
"1040" 137 721 15
"17029" 1013 466 50
"21718" 1609 1527 60
"23019" 709 331 70
"7364" 1122 1127 24
"1782" 915 1412 13
"5721" 828 527 22
"6001" 493 567 26
"5858" 1301 1505 25
"3852" 954 323 14
"7511" 309 120 27
"23928" 1240 1433 66
"3165" 1124 280 18
"16203" 777 800 58
"25217" 231 1392 76
"7206" 543 833 28
"27609" 606 455 77
"27461" 1617 1017 84
"925" 510 314 12
"32251" 467 317 94
"13283" 52 1120 47
"17268" 455 501 49
"20222" 274 539 64
"12344" 906 488 37
"6513" 875 1059 22
"7430" 1378 280 24
"8417" 883 17 30
"17116" 1355 944 48
"4452" 363 939 22
"16004" 1490 1053 51
"18495" 893 229 53
"11816" 320 1281 35
"17946" 73 1130 57
"2043" 692 1328 11
"16819" 136 1343 48
"2680" 663 512 18
"30570" 1353 993 87
"23325" 305 208 74
"28379" 553 1530 85
"30684" 338 736 90
"18242" 1291 737 55
"24139" 621 13 71
"774" 514 375 11
"27395" 1256 912 80
"3229" 1411 1151 15
"5536" 22 1005 29
"13544" 1110 176 44
"13208" 1341 517 48
"17175" 66 517 62
"14626" 841 790 48
"13105" 1002 360 43
"24098" 435 432 68
"30479" 1076 480 90
"3184" 1207 383 25
"2742" 905 938 16
"14943" 537 746 49
"8165" 1293 768 30
"3692" 374 353 22
"18329" 155 1412 52
"1415" 730 482 15
"25770" 931 1354 83
"26804" 473 220 86
"267" 428 79 6
"3867" 1007 878 18
"22795" 1224 969 64
"19330" 1172 772 59
"21700" 1494 609 69
"9110" 584 86 36
"24031" 189 221 73
"9730" 1401 1115 41
"28230" 15 849 89
"26817" 552 180 80
"9464" 498 978 29
"26419" 417 1268 73
"28625" 1369 1207 83
"20789" 1113 726 59
"20457" 1178 417 62
"32553" 136 786 89
"14752" 1224 1271 42
"14818" 1500 1425 42
"14645" 893 913 46
"4568" 837 299 19
"17245" 350 471 49
"24810" 13 1358 75
"1934" 263 53 10
"3319" 359 708 13
"14491" 316 775 49
"23341" 370 780 65
"20947" 246 183 59
"5583" 260 981 23
"16929" 630 134 57
"15598" 1318 202 45
"18912" 941 591 54
"2078" 833 9 10
"15149" 1205 68 43
"4644" 1122 521 20
"20081" 1200 641 61
"30703" 430 1520 89
"27057" 1340 1495 74
"14101" 349 599 47
"18377" 417 750 52
"19879" 341 4 64
"24647" 949 744 75
"17237" 320 161 49
"3812" 800 315 15
"24359" 1399 400 82
"32556" 170 265 90
"4735" 1541 1340 22
"9428" 372 393 36
"31479" 374 1123 93
"20674" 666 42 58
"26381" 316 1120 73
"823" 749 547 9
"4009" 168 392 20
"14926" 498 526 49
"12772" 1152 957 43
"27471" 22 766 76
"3246" 13 1137 13
"1159" 659 642 12
"30919" 1297 1255 91
"21133" 928 675 65
"33017" 356 871 91
"3873" 1035 1495 21
"2604" 342 1106 11
"7728" 1172 921 29
"5681" 708 585 25
"2333" 595 1019 17
"17800" 1090 195 56
"12451" 1274 970 37
"29588" 634 1256 90
"9138" 732 1107 33
"16027" 7 1453 50
"2491" 1251 1437 15
"16995" 894 230 48
"23767" 628 815 71
"27381" 1210 1180 75
"21351" 215 435 60
"25467" 1138 713 74
"26880" 797 602 80
"19110" 244 826 59
"1520" 1084 1041 12
"19901" 448 500 61
"10674" 472 186 35
"33087" 999 488 91
"21624" 1184 1327 64
"24210" 859 56 74
"31710" 1249 1165 93
"3374" 552 1197 20
"32880" 855 487 90
"18374" 406 641 52
"6948" 1097 100 26
"15646" 1511 1171 48
"3522" 1120 1086 14
"19056" 15 769 64
"4041" 312 935 15
"14910" 414 1133 50
"14739" 1187 665 46
"15151" 1206 94 46
"14553" 576 932 49
"16283" 1091 815 57
"27985" 594 1055 86
"5650" 567 264 19
"13952" 1187 668 40
"23187" 1257 720 70
"28501" 1020 277 78
"31069" 397 190 92
"13463" 772 1068 39
"24259" 1065 1022 71
"30936" 1393 770 88
"14805" 1461 700 42
"2186" 1210 1253 16
"15788" 674 17 45
"32296" 659 576 93
"9000" 11 746 30
"25932" 1540 1443 74
"29180" 454 601 81
"11347" 51 699 45
"54" 80 1231 6
"32489" 1358 1528 88
"23710" 328 1452 70
"4539" 741 125 20
"20505" 1362 1054 57
"23428" 793 1262 69
"3424" 760 6 21
"23391" 613 1531 69
"9134" 720 414 35
"14050" 59 1331 44
"11948" 847 1336 39
"16380" 1473 1052 49
"4993" 1007 25 17
"14029" 1553 1012 40
"21169" 1081 683 59
"24539" 579 1133 72
"21150" 983 658 65
"28149" 1204 566 77
"19282" 991 547 59
"30125" 1175 825 88
"3491" 995 589 13
"12224" 355 80 43
"28648" 1506 1365 83
"13217" 1363 1129 39
"32524" 1540 1138 88
"33127" 1262 150 92
"30869" 1115 1197 84
"8500" 1124 319 32
"14089" 298 487 42
"17185" 126 1074 49
"27702" 927 713 76
"16032" 20 1466 46
"16351" 1337 627 51
"26728" 123 1294 82
"32777" 1530 1211 93
"33464" 1226 106 93
"15377" 683 1521 51
"24247" 998 795 69
"7740" 1196 1244 25
"31547" 712 449 90
"10198" 168 351 36
"27379" 1208 1137 82
"13009" 546 1223 46
"27431" 1366 1313 75
"30221" 88 575 91
"11748" 1659 1430 40
"33586" 1378 1276 94
"17195" 152 344 49
"27264" 734 640 80
"31530" 643 282 93
"14634" 859 1317 48
"25135" 1355 562 72
"4802" 268 1172 23
"26316" 1684 1320 76
"18903" 875 1153 57
"12301" 742 314 48
"16327" 1223 376 46
"25966" 112 986 79
"27111" 74 617 75
